"t","x_h0","y_h0","x_so","y_so","x_h_so","y_h_so","p_so","ap_so","v_so","x_ne","y_ne","x_h_ne","y_h_ne","x_s1_ne","x_s2_ne","y_s1_ne","y_s2_ne","p1_ne","p2_ne","ap1_ne","ap2_ne","v1_ne","v2_ne"
1,32,15,32,15,0,6,15,15,579.885769088621,32,15,0,12,0,0,6,6,6,6,6,6,276.779511112607,276.779511112607
2,11,31,25,22,0,18,21.78,36.78,579.682595039011,38,8,0,2,0,0,1,1,0.99,0.99,6.99,6.99,273.514657689502,273.514657689502
3,0,20,32,9,0,0,8.8209,45.6009,567.356156605062,32,18,0,12,0,0,6,6,5.8806,5.8806,12.8706,12.8706,275.267330999497,275.267330999497
4,0,6,25,22,0,18,21.346578,66.947478,573.0870268738,31,15,0,12,0,0,6,6,5.821794,5.821794,18.692394,18.692394,271.987203029795,271.987203029795
5,0,2,32,9,0,0,8.64536409,75.59284209,560.693966539192,37,8,0,0,0,0,0,0,0,0,18.692394,18.692394,268.673942454338,268.673942454338
6,0,1,25,22,0,18,20.9217810978,96.5146231878,566.35754195878,27,22,0,18,0,0,9,9,8.5589104491,8.5589104491,27.2513044491,27.2513044491,271.387820660948,271.387820660948
7,0,0,32,9,0,0,8.473321344609,104.987944532409,553.89650702907,33,9,0,0,0,0,0,0,0,0,27.2513044491,27.2513044491,265.038202687826,265.038202687826
8,0,0,25,22,0,18,20.5054376539538,125.493382186363,559.491421241485,25,22,0,18,0,0,9,9,8.38858813116291,8.38858813116291,35.6398925802629,35.6398925802629,267.715356250329,267.715356250329
9,0,0,32,9,0,0,8.30470224985128,133.798084436214,546.961031557056,32,9,0,0,0,0,0,0,0,0,35.6398925802629,35.6398925802629,261.3286426771,261.3286426771
10,0,0,25,22,0,18,20.0973794446401,153.895463880854,552.485890461673,25,22,0,18,0,0,9,9,8.22165522735277,8.22165522735277,43.8615478076157,43.8615478076157,263.968325936465,263.968325936465
11,0,0,32,9,0,0,8.13943867507924,162.034902555933,539.884737840073,32,9,0,0,0,0,0,0,0,0,43.8615478076157,43.8615478076157,257.543763572187,257.543763572187
12,0,0,25,22,0,18,19.6974415936918,181.732344149625,545.338119030377,25,22,0,18,0,0,9,9,8.05804428832845,8.05804428832845,51.9195920959441,51.9195920959441,260.145215729482,260.145215729482
13,0,0,32,9,0,0,7.97746384544516,189.70980799507,532.664766697351,32,9,0,0,0,0,0,0,0,0,51.9195920959441,51.9195920959441,253.682036090385,253.682036090385
14,0,0,25,22,0,18,19.3054625059773,209.015270501048,538.045218886213,25,22,0,18,0,0,9,9,7.89768920699071,7.89768920699071,59.8172813029348,59.8172813029348,256.244480899379,256.244480899379
15,0,0,32,9,0,0,7.8187123149208,216.833982815968,525.298200895164,32,9,0,0,0,0,0,0,0,0,59.8172813029348,59.8172813029348,249.741899898363,249.741899898363
16,0,0,25,22,0,18,18.9212838021083,235.755266618077,530.604243328449,25,22,0,18,0,0,9,9,7.7405251917716,7.7405251917716,67.5578064947064,67.5578064947064,252.264545351882,252.264545351882
17,0,0,32,9,0,0,7.66311993985388,243.418386557931,517.78206396813,32,9,0,0,0,0,0,0,0,0,67.5578064947064,67.5578064947064,245.721762981699,245.721762981699
18,0,0,25,22,0,18,18.5447502544464,261.963136812377,523.012185826394,25,22,0,18,0,0,9,9,7.58648874045534,7.58648874045534,75.1442952351618,75.1442952351618,248.203800991615,248.203800991615
19,0,0,32,9,0,0,7.51062385305079,269.473760665428,510.11331901656,32,9,0,0,0,0,0,0,0,0,75.1442952351618,75.1442952351618,241.620001001631,241.620001001631
20,0,0,25,22,0,18,18.1757097243829,287.649470389811,515.265978804606,25,22,0,18,0,0,9,9,7.43551761452028,7.43551761452028,82.579812849682,82.579812849682,244.060607072355,244.060607072355
21,0,0,32,9,0,0,7.36116243837508,295.010632828186,502.2888674794,32,9,0,0,0,0,0,0,0,0,82.579812849682,82.579812849682,237.434956638742,237.434956638742
22,0,0,25,22,0,18,17.8140131008677,312.824645929053,507.362492403434,25,22,0,18,0,0,9,9,7.28755081399133,7.28755081399133,89.8673636636734,89.8673636636734,239.833289534083,239.833289534083
23,0,0,32,9,0,0,7.21467530585141,320.039321234905,494.305547882257,32,9,0,0,0,0,0,0,0,0,89.8673636636734,89.8673636636734,233.164938923316,233.164938923316
24,0,0,25,22,0,18,17.4595142401604,337.498835475065,499.298533214401,25,22,0,18,0,0,9,9,7.1425285527929,7.1425285527929,97.0098922164663,97.0098922164663,235.520140326582,235.520140326582
25,0,0,32,9,0,0,7.07110326726497,344.56993874233,486.160134560001,32,9,0,0,0,0,0,0,0,0,97.0098922164663,97.0098922164663,228.808222552103,228.808222552103
26,0,0,25,22,0,18,17.1120699067812,361.682008649112,491.0708429899,25,22,0,18,0,0,9,9,7.00039223459232,7.00039223459232,104.010284451059,104.010284451059,231.119416719296,231.119416719296
27,0,0,32,9,0,0,6.9303883122464,368.612396961358,477.849336353434,32,9,0,6,0,0,3,3,2.31012943741547,2.31012943741547,106.320413888474,106.320413888474,224.363047191208,224.363047191208
28,0,0,25,22,0,18,16.7715397156363,385.383936676994,482.676097326701,38,8,0,0,0,0,0,0,0,0,106.320413888474,106.320413888474,223.599037566877,223.599037566877
29,0,0,32,9,0,0,6.79247358483269,392.176410261827,469.369795279496,27,23,0,20,0,0,10,10,7.54719287203633,7.54719287203633,113.86760676051,113.86760676051,225.857613703916,225.857613703916
30,0,0,25,22,0,18,16.4377860752951,408.614196337122,474.110904322723,35,7,0,0,0,0,0,0,0,0,113.86760676051,113.86760676051,218.037993640319,218.037993640319
31,0,0,32,9,0,0,6.65730336049452,415.271499697616,460.718085174468,29,19,0,14,0,0,7,7,5.17790261371796,5.17790261371796,119.045509374228,119.045509374228,220.240397616484,220.240397616484
32,0,0,25,22,0,18,16.1106741323967,431.382173830013,465.371803206533,32,12,0,8,0,0,4,4,2.92921347861759,2.92921347861759,121.974722852846,121.974722852846,215.394341026751,215.394341026751
33,0,0,32,9,0,0,6.52482302362068,437.906996853634,451.89071030963,36,11,0,0,0,0,0,0,0,0,121.974722852846,121.974722852846,213.529637400759,213.529637400759
34,0,0,25,22,0,18,15.790071717162,453.697068570796,456.45526293902,19,28,0,26,0,0,13,13,9.33049692377757,9.33049692377757,131.305219776624,131.305219776624,215.686502425009,215.686502425009
35,0,0,32,9,0,0,6.39497904545063,460.092047616247,442.884103978808,29,4,0,0,0,0,0,0,0,0,131.305219776624,131.305219776624,204.733840833343,204.733840833343
36,0,0,25,22,0,18,15.4758492899905,475.567896906237,447.357680786675,34,10,0,0,0,0,0,0,0,0,131.305219776624,131.305219776624,206.801859427619,206.801859427619
37,0,0,32,9,0,0,6.26771896244616,481.835615868683,433.694627057247,22,25,0,22,0,0,11,11,7.66054539854531,7.66054539854531,138.965765175169,138.965765175169,208.890767098605,208.890767098605
38,0,0,25,22,0,18,15.1678798891197,497.003495757803,438.075380865906,31,6,0,0,0,0,0,0,0,0,138.965765175169,138.965765175169,199.889663735964,199.889663735964
39,0,0,32,9,0,0,6.14299135509348,503.146487112897,424.318566531218,31,15,0,12,0,0,6,6,4.09532757006232,4.09532757006232,143.061092745231,143.061092745231,201.908751248449,201.908751248449
