"t","x_h0","y_h0","x_so","y_so","x_h_so","y_h_so","p_so","ap_so","v_so","x_ne","y_ne","x_h_ne","y_h_ne","x_s1_ne","x_s2_ne","y_s1_ne","y_s2_ne","p1_ne","p2_ne","ap1_ne","ap2_ne","v1_ne","v2_ne"
1,35,9,35,9,0,5,9,9,289.144607702588,35,9,0,0,0,0,0,0,0,0,0,0,129.575538352163,129.575538352163
2,25,16,37,8,0,3,7.92,16.92,287.014755255139,25,16,0,14,0,0,7,7,6.93,6.93,6.93,6.93,130.884382173902,130.884382173902
3,11,18,35,10,0,6,9.801,26.721,286.883591166807,35,3,0,0,0,0,0,0,0,0,6.93,6.93,125.135739569598,125.135739569598
4,7,12,37,8,0,3,7.762392,34.483392,283.720799158391,39,6,0,0,0,0,0,0,0,0,6.93,6.93,126.399736938987,126.399736938987
5,8,7,35,10,0,6,9.6059601,44.0893521,283.556362786254,32,12,0,10,0,0,5,5,4.80298005,4.80298005,11.73298005,11.73298005,127.676501958573,127.676501958573
6,11,5,37,8,0,3,7.6079203992,51.6972724992,280.359962410357,40,4,0,0,0,0,0,0,0,0,11.73298005,11.73298005,123.915658544013,123.915658544013
7,17,4,35,10,0,6,9.41480149401,61.11207399321,280.16157819228,38,9,0,6,0,0,3,3,2.824440448203,2.824440448203,14.557420498203,14.557420498203,125.16733186264,125.16733186264
8,25,4,37,8,0,3,7.45652278325592,68.5685967764659,276.930887062909,40,6,0,0,0,0,0,0,0,0,14.557420498203,14.557420498203,123.401345315798,123.401345315798
9,32,6,35,10,0,6,9.2274469442792,77.7960437207451,276.69786572011,32,12,0,10,0,0,5,5,4.6137234721396,4.6137234721396,19.1711439703426,19.1711439703426,124.647823551311,124.647823551311
10,31,10,37,8,0,3,7.30813797986913,85.1041817006142,273.432187596071,40,4,0,0,0,0,0,0,0,0,19.1711439703426,19.1711439703426,120.856387425566,120.856387425566
11,22,15,35,10,0,6,9.04382075008804,94.1480024507023,273.163825854617,38,9,0,6,0,0,3,3,2.71314622502641,2.71314622502641,21.884290195369,21.884290195369,122.077159015724,122.077159015724
12,12,16,37,8,0,3,7.16270603406973,101.310708484772,269.862450358199,40,6,0,0,0,0,0,0,0,0,21.884290195369,21.884290195369,120.279958601741,120.279958601741
13,9,11,35,10,0,6,8.86384871716129,110.174557201933,269.558030664848,32,12,0,10,0,0,5,5,4.43192435858065,4.43192435858065,26.3162145539497,26.3162145539497,121.494907678526,121.494907678526
14,10,7,37,8,0,3,7.02016818399174,117.194725385925,266.220232994796,40,4,0,0,0,0,0,0,0,0,26.3162145539497,26.3162145539497,117.671623917703,117.671623917703
15,14,5,35,10,0,6,8.68745812768978,125.882183513615,265.879023227066,38,9,0,6,0,0,3,3,2.60623743830693,2.60623743830693,28.9224519922566,28.9224519922566,118.860226179498,118.860226179498
16,20,5,37,8,0,3,6.88046683713031,132.762650350745,262.504063865724,40,6,0,0,0,0,0,0,0,0,28.9224519922566,28.9224519922566,117.030531494443,117.030531494443
