"t","x_h0","y_h0","x_so","y_so","x_h_so","y_h_so","p_so","ap_so","v_so","x_ne","y_ne","x_h_ne","y_h_ne","x_s1_ne","x_s2_ne","y_s1_ne","y_s2_ne","p1_ne","p2_ne","ap1_ne","ap2_ne","v1_ne","v2_ne"
1,11,10,11,10,0,7,10,10,148.890681035623,11,10,0,0,0,0,0,0,0,0,0,0,63.7238103558358,63.7238103558358
2,11,10,19,3,0,0,2.97,12.97,143.323920238003,11,10,0,8,0,0,4,4,3.96,3.96,3.96,3.96,64.3674852079149,64.3674852079149
3,11,10,29,4,0,2,3.9204,16.8904,144.771636604043,21,2,0,0,0,0,0,0,0,0,3.96,3.96,60.9772577857726,60.9772577857726
4,11,10,40,3,0,0,2.910897,19.801297,144.213774347518,33,2,0,0,0,0,0,0,0,0,3.96,3.96,61.5931896825986,61.5931896825986
5,11,10,38,5,0,0,4.80298005,24.60427705,145.670479138908,41,3,0,0,0,0,0,0,0,0,3.96,3.96,62.215343113736,62.215343113736
6,11,10,30,8,0,4,7.6079203992,32.2121974492,147.141898120109,38,5,0,0,0,0,0,0,0,0,3.96,3.96,62.8437809229656,62.8437809229656
7,11,10,34,6,0,0,5.648880896406,37.861078345606,144.587775878898,30,8,0,6,0,0,3,3,2.824440448203,2.824440448203,6.784440448203,6.784440448203,63.4785665888542,63.4785665888542
8,11,10,27,9,0,4,8.38858813116291,46.2496664767689,146.048258463533,40,3,0,0,0,0,0,0,0,0,6.784440448203,6.784440448203,61.0894612008628,61.0894612008628
9,11,10,30,7,0,3,6.45921286099544,52.7088793377644,143.483089357104,38,5,0,0,0,0,0,0,0,0,6.784440448203,6.784440448203,61.706526465518,61.706526465518
10,11,10,34,6,0,0,5.48110348490184,58.1899828226662,141.902110461721,30,8,0,6,0,0,3,3,2.74055174245092,2.74055174245092,9.52499219065392,9.52499219065392,62.3298247126444,62.3298247126444
11,11,10,27,9,0,4,8.13943867507924,66.3294214977454,143.33546511285,40,3,0,0,0,0,0,0,0,0,9.52499219065392,9.52499219065392,59.929115871358,59.929115871358
12,11,10,30,7,0,3,6.26736777981102,72.5967892775564,140.742894053384,38,5,0,0,0,0,0,0,0,0,9.52499219065392,9.52499219065392,60.5344604761192,60.5344604761192
13,11,10,34,6,0,0,5.31830923029678,77.9150985078532,139.134236417559,30,8,0,6,0,0,3,3,2.65915461514839,2.65915461514839,12.1841468058023,12.1841468058023,61.1459196728477,61.1459196728477
14,11,10,27,9,0,4,7.89768920699071,85.8127877148439,140.539632745009,40,3,0,0,0,0,0,0,0,0,12.1841468058023,12.1841468058023,58.7332521947956,58.7332521947956
15,11,10,30,7,0,3,6.08122068938285,91.8940084042268,137.918820954555,38,5,0,0,0,0,0,0,0,0,12.1841468058023,12.1841468058023,59.3265173684805,59.3265173684805
16,11,10,34,6,0,0,5.16035012784773,97.0543585320745,136.281637327833,30,8,0,6,0,0,3,3,2.58017506392387,2.58017506392387,14.7643218697262,14.7643218697262,59.9257751196772,59.9257751196772
17,11,10,27,9,0,4,7.66311993985388,104.717478471928,137.658219523064,40,3,0,0,0,0,0,0,0,0,14.7643218697262,14.7643218697262,57.5007829491689,57.5007829491689
18,11,10,30,7,0,3,5.90060235368749,110.618080825616,135.008302548549,38,5,0,0,0,0,0,0,0,0,14.7643218697262,14.7643218697262,58.0815989385545,58.0815989385545
19,11,10,34,6,0,0,5.00708256870053,115.625163394316,133.341719746009,30,8,0,6,0,0,3,3,2.50354128435026,2.50354128435026,17.2678631540764,17.2678631540764,58.6682817561156,58.6682817561156
20,11,10,27,9,0,4,7.43551761452028,123.060681008837,134.68860580405,40,3,0,0,0,0,0,0,0,0,17.2678631540764,17.2678631540764,56.23058763244,56.23058763244
21,11,10,30,7,0,3,5.72534856318062,128.786029572017,132.008692731363,38,5,0,0,0,0,0,0,0,0,17.2678631540764,17.2678631540764,56.798573366101,56.798573366101
22,11,10,34,6,0,0,4.85836720932755,133.644396781345,130.311810839761,30,8,0,6,0,0,3,3,2.42918360466378,2.42918360466378,19.6970467587402,19.6970467587402,57.372296329395,57.372296329395
23,11,10,27,9,0,4,7.21467530585141,140.859072087196,131.628091757334,40,3,0,0,0,0,0,0,0,0,19.6970467587402,19.6970467587402,54.9215114438333,54.9215114438333
24,11,10,30,7,0,3,5.55529998550559,146.414372072702,128.917264401348,38,5,0,0,0,0,0,0,0,0,19.6970467587402,19.6970467587402,55.4762741856902,55.4762741856902
25,11,10,34,6,0,0,4.71406884484331,151.128440917545,127.189155960957,30,8,0,6,0,0,3,3,2.35703442242166,2.35703442242166,22.0540811811619,22.0540811811619,56.0366405916063,56.0366405916063
26,11,10,27,9,0,4,7.00039223459232,158.128833152138,128.473894910058,40,3,0,0,0,0,0,0,0,0,22.0540811811619,22.0540811811619,53.5723642339457,53.5723642339457
27,11,10,30,7,0,3,5.39030202063609,163.519135172774,125.731206979857,38,5,0,0,0,0,0,0,0,0,22.0540811811619,22.0540811811619,54.1134992262078,54.1134992262078
28,11,10,34,6,0,0,4.57405628608262,168.093191458856,123.970916141269,30,8,0,6,0,0,3,3,2.28702814304131,2.28702814304131,24.3411093242032,24.3411093242032,54.6601002284927,54.6601002284927
29,11,10,27,9,0,4,6.79247358483269,174.885665043689,125.223147617444,40,3,0,0,0,0,0,0,0,0,24.3411093242032,24.3411093242032,52.1819194227199,52.1819194227199
30,11,10,30,7,0,3,5.23020466032117,180.11586970401,122.447623856004,38,5,0,0,0,0,0,0,0,0,24.3411093242032,24.3411093242032,52.7090095178989,52.7090095178989
31,11,10,34,6,0,0,4.43820224032968,184.55407194434,120.654165511115,30,8,0,6,0,0,3,3,2.21910112016484,2.21910112016484,26.560210444368,26.560210444368,53.2414237554535,53.2414237554535
