"t","x_h0","y_h0","x_so","y_so","x_h_so","y_h_so","p_so","ap_so","v_so","x_ne","y_ne","x_h_ne","y_h_ne","x_s1_ne","x_s2_ne","y_s1_ne","y_s2_ne","p1_ne","p2_ne","ap1_ne","ap2_ne","v1_ne","v2_ne"
1,11,10,11,10,0,5,5,5,239,11,10,0,8,0,0,4,4,4,4,4,4,103.5,103.5
2,11,10,17,5,0,1,1,6,234,21,2,0,0,0,0,0,0,0,0,4,4,99.5,99.5
3,11,10,25,5,0,3,3,9,233,33,2,0,0,0,0,0,0,0,0,4,4,99.5,99.5
4,11,10,37,3,0,0,0,9,230,41,3,0,0,0,0,0,0,0,0,4,4,99.5,99.5
5,11,10,38,5,0,0,0,9,230,38,5,0,0,0,0,0,0,0,0,4,4,99.5,99.5
6,11,10,30,8,0,4,4,13,230,30,8,0,0,0,0,0,0,0,0,4,4,99.5,99.5
7,11,10,34,6,0,0,0,13,226,21,11,0,8,0,0,4,4,4,4,8,8,99.5,99.5
8,11,10,27,9,0,4,4,17,226,31,4,0,0,0,0,0,0,0,0,8,8,95.5,95.5
9,11,10,30,7,0,3,3,20,222,34,6,0,4,0,0,2,2,2,2,10,10,95.5,95.5
10,11,10,34,6,0,0,0,20,219,42,3,0,0,0,0,0,0,0,0,10,10,93.5,93.5
11,11,10,27,9,0,4,4,24,219,38,5,0,0,0,0,0,0,0,0,10,10,93.5,93.5
12,11,10,30,7,0,3,3,27,215,30,8,0,0,0,0,0,0,0,0,10,10,93.5,93.5
13,11,10,34,6,0,0,0,27,212,21,11,0,8,0,0,4,4,4,4,14,14,93.5,93.5
14,11,10,27,9,0,4,4,31,212,31,4,0,0,0,0,0,0,0,0,14,14,89.5,89.5
15,11,10,30,7,0,3,3,34,208,34,6,0,4,0,0,2,2,2,2,16,16,89.5,89.5
16,11,10,34,6,0,0,0,34,205,42,3,0,0,0,0,0,0,0,0,16,16,87.5,87.5
17,11,10,27,9,0,4,4,38,205,38,5,0,0,0,0,0,0,0,0,16,16,87.5,87.5
18,11,10,30,7,0,3,3,41,201,30,8,0,0,0,0,0,0,0,0,16,16,87.5,87.5
19,11,10,34,6,0,0,0,41,198,21,11,0,8,0,0,4,4,4,4,20,20,87.5,87.5
20,11,10,27,9,0,4,4,45,198,31,4,0,0,0,0,0,0,0,0,20,20,83.5,83.5
21,11,10,30,7,0,3,3,48,194,34,6,0,4,0,0,2,2,2,2,22,22,83.5,83.5
22,11,10,34,6,0,0,0,48,191,42,3,0,0,0,0,0,0,0,0,22,22,81.5,81.5
23,11,10,27,9,0,4,4,52,191,38,5,0,0,0,0,0,0,0,0,22,22,81.5,81.5
24,11,10,30,7,0,3,3,55,187,30,8,0,0,0,0,0,0,0,0,22,22,81.5,81.5
25,11,10,34,6,0,0,0,55,184,21,11,0,8,0,0,4,4,4,4,26,26,81.5,81.5
26,11,10,27,9,0,4,4,59,184,31,4,0,0,0,0,0,0,0,0,26,26,77.5,77.5
27,11,10,30,7,0,3,3,62,180,34,6,0,4,0,0,2,2,2,2,28,28,77.5,77.5
28,11,10,34,6,0,0,0,62,177,42,3,0,0,0,0,0,0,0,0,28,28,75.5,75.5
29,11,10,27,9,0,4,4,66,177,38,5,0,0,0,0,0,0,0,0,28,28,75.5,75.5
30,11,10,30,7,0,3,3,69,173,30,8,0,0,0,0,0,0,0,0,28,28,75.5,75.5
31,11,10,34,6,0,0,0,69,170,21,11,0,8,0,0,4,4,4,4,32,32,75.5,75.5
32,11,10,27,9,0,4,4,73,170,31,4,0,0,0,0,0,0,0,0,32,32,71.5,71.5
